x,y
-4.000000,0.096720
-3.750000,0.062699
-3.500000,0.048846
-3.250000,0.047166
-3.000000,0.053326
-2.750000,0.065310
-2.500000,0.082578
-2.250000,0.105557
-2.000000,0.135379
-1.750000,0.173784
-1.500000,0.223132
-1.250000,0.286505
-1.000000,0.367879
-0.750000,0.472367
-0.500000,0.606531
-0.250000,0.778801
0.000000,1.000000
0.250000,1.284025
0.500000,1.648721
0.750000,2.117000
1.000000,2.718282
1.250000,3.490343
1.500000,4.481687
1.750000,5.754589
2.000000,7.388995
2.250000,9.487506
2.500000,12.181743
2.750000,15.640435
3.000000,20.079665
3.250000,25.775798
3.500000,33.081694
3.750000,42.446963
4.000000,54.443104
