x,y
0.000000,0.000000
5.000000,0.087156
10.000000,0.173648
15.000000,0.258819
20.000000,0.342020
25.000000,0.422618
30.000000,0.500000
35.000000,0.573576
40.000000,0.642788
45.000000,0.707107
50.000000,0.766044
55.000000,0.819152
60.000000,0.866025
65.000000,0.906308
70.000000,0.939693
75.000000,0.965926
80.000000,0.984809
85.000000,0.996197
90.000000,1.000004
95.000000,0.996201
100.000000,0.984819
105.000000,0.965945
110.000000,0.939725
115.000000,0.906360
120.000000,0.866108
125.000000,0.819282
130.000000,0.766243
135.000000,0.707407
140.000000,0.643235
145.000000,0.574232
150.000000,0.500950
155.000000,0.423977
160.000000,0.343940
165.000000,0.261505
170.000000,0.177366
175.000000,0.092253
180.000000,0.006925
185.000000,-0.077827
190.000000,-0.161183
195.000000,-0.242292
200.000000,-0.320266
205.000000,-0.394183
210.000000,-0.463078
215.000000,-0.525936
220.000000,-0.581688
225.000000,-0.629197
230.000000,-0.667244
235.000000,-0.694521
240.000000,-0.709604
245.000000,-0.710939
250.000000,-0.696814
255.000000,-0.665334
260.000000,-0.614388
265.000000,-0.541616
270.000000,-0.444366
275.000000,-0.319651
280.000000,-0.164097
285.000000,0.026111
290.000000,0.255290
295.000000,0.528331
300.000000,0.850770
305.000000,1.228874
310.000000,1.669728
315.000000,2.181336
320.000000,2.772726
325.000000,3.454069
330.000000,4.236804
335.000000,5.133773
340.000000,6.159372
345.000000,7.329708
350.000000,8.662771
355.000000,10.178617
360.000000,11.899567
365.000000,13.850416
