x,y
-4.000000,5.000000
-3.750000,3.731934
-3.500000,2.731771
-3.250000,1.958496
-3.000000,1.375000
-2.750000,0.948079
-2.500000,0.648438
-2.250000,0.450684
-2.000000,0.333333
-1.750000,0.278809
-1.500000,0.273438
-1.250000,0.307454
-1.000000,0.375000
-0.750000,0.474121
-0.500000,0.606771
-0.250000,0.778809
0.000000,1.000000
0.250000,1.284017
0.500000,1.648438
0.750000,2.114746
1.000000,2.708333
1.250000,3.458496
1.500000,4.398438
1.750000,5.565267
2.000000,7.000000
2.250000,8.747559
2.500000,10.856771
2.750000,13.380371
3.000000,16.375000
3.250000,19.901204
3.500000,24.023438
3.750000,28.810059
4.000000,34.333333
