x,y
0.000000,1.000000
5.000000,0.996195
10.000000,0.984808
15.000000,0.965926
20.000000,0.939693
25.000000,0.906308
30.000000,0.866025
35.000000,0.819152
40.000000,0.766044
45.000000,0.707107
50.000000,0.642788
55.000000,0.573577
60.000000,0.500000
65.000000,0.422619
70.000000,0.342022
75.000000,0.258823
80.000000,0.173656
85.000000,0.087170
90.000000,0.000025
95.000000,-0.087113
100.000000,-0.173578
105.000000,-0.258704
110.000000,-0.341838
115.000000,-0.422335
120.000000,-0.499567
125.000000,-0.572927
130.000000,-0.641829
135.000000,-0.705713
140.000000,-0.764045
145.000000,-0.816322
150.000000,-0.862066
155.000000,-0.900831
160.000000,-0.932196
165.000000,-0.955765
170.000000,-0.971163
175.000000,-0.978032
180.000000,-0.976022
185.000000,-0.964787
190.000000,-0.943972
195.000000,-0.913203
200.000000,-0.872076
205.000000,-0.820139
210.000000,-0.756878
215.000000,-0.681692
220.000000,-0.593879
225.000000,-0.492607
230.000000,-0.376885
235.000000,-0.245540
240.000000,-0.097177
245.000000,0.069852
250.000000,0.257488
255.000000,0.468010
260.000000,0.704079
265.000000,0.968787
270.000000,1.265714
275.000000,1.598984
280.000000,1.973325
285.000000,2.394142
290.000000,2.867581
295.000000,3.400611
300.000000,4.001102
305.000000,4.677913
310.000000,5.440982
315.000000,6.301425
320.000000,7.271640
325.000000,8.365415
330.000000,9.598041
335.000000,10.986441
340.000000,12.549292
345.000000,14.307162
350.000000,16.282656
355.000000,18.500562
360.000000,20.988009
365.000000,23.774637
