x,y
0.000000,1.000000
5.000000,0.996195
10.000000,0.984808
15.000000,0.965926
20.000000,0.939693
25.000000,0.906308
30.000000,0.866025
35.000000,0.819152
40.000000,0.766044
45.000000,0.707107
50.000000,0.642788
55.000000,0.573576
60.000000,0.500000
65.000000,0.422618
70.000000,0.342020
75.000000,0.258819
80.000000,0.173648
85.000000,0.087156
90.000000,0.000000
95.000000,-0.087156
100.000000,-0.173648
105.000000,-0.258819
110.000000,-0.342020
115.000000,-0.422618
120.000000,-0.500000
125.000000,-0.573576
130.000000,-0.642788
135.000000,-0.707107
140.000000,-0.766044
145.000000,-0.819152
150.000000,-0.866025
155.000000,-0.906308
160.000000,-0.939693
165.000000,-0.965926
170.000000,-0.984808
175.000000,-0.996195
180.000000,-1.000000
185.000000,-0.996195
190.000000,-0.984808
195.000000,-0.965926
200.000000,-0.939693
205.000000,-0.906308
210.000000,-0.866025
215.000000,-0.819152
220.000000,-0.766044
225.000000,-0.707107
230.000000,-0.642788
235.000000,-0.573576
240.000000,-0.500000
245.000000,-0.422618
250.000000,-0.342020
255.000000,-0.258819
260.000000,-0.173648
265.000000,-0.087155
270.000000,0.000001
275.000000,0.087157
280.000000,0.173649
285.000000,0.258821
290.000000,0.342023
295.000000,0.422622
300.000000,0.500006
305.000000,0.573584
310.000000,0.642799
315.000000,0.707123
320.000000,0.766067
325.000000,0.819184
330.000000,0.866070
335.000000,0.906370
340.000000,0.939779
345.000000,0.966045
350.000000,0.984970
355.000000,0.996417
360.000000,1.000301
365.000000,0.996602
