x,y
0.000000,0.000000
5.000000,0.087156
10.000000,0.173648
15.000000,0.258819
20.000000,0.342020
25.000000,0.422618
30.000000,0.500000
35.000000,0.573576
40.000000,0.642788
45.000000,0.707107
50.000000,0.766044
55.000000,0.819152
60.000000,0.866025
65.000000,0.906308
70.000000,0.939693
75.000000,0.965926
80.000000,0.984808
85.000000,0.996195
90.000000,1.000000
95.000000,0.996195
100.000000,0.984808
105.000000,0.965925
110.000000,0.939692
115.000000,0.906306
120.000000,0.866023
125.000000,0.819148
130.000000,0.766038
135.000000,0.707096
140.000000,0.642770
145.000000,0.573549
150.000000,0.499958
155.000000,0.422554
160.000000,0.341923
165.000000,0.258674
170.000000,0.173435
175.000000,0.086846
180.000000,-0.000445
185.000000,-0.087790
190.000000,-0.174543
195.000000,-0.260069
200.000000,-0.343753
205.000000,-0.425000
210.000000,-0.503248
215.000000,-0.577974
220.000000,-0.648699
225.000000,-0.715000
230.000000,-0.776515
235.000000,-0.832955
240.000000,-0.884114
245.000000,-0.929878
250.000000,-0.970237
255.000000,-1.005301
260.000000,-1.035310
265.000000,-1.060655
270.000000,-1.081890
275.000000,-1.099759
280.000000,-1.115213
285.000000,-1.129439
290.000000,-1.143889
295.000000,-1.160311
300.000000,-1.180788
305.000000,-1.207778
310.000000,-1.244168
315.000000,-1.293317
320.000000,-1.359129
325.000000,-1.446114
330.000000,-1.559467
335.000000,-1.705158
340.000000,-1.890026
345.000000,-2.121893
350.000000,-2.409681
355.000000,-2.763556
360.000000,-3.195076
365.000000,-3.717362
