x,y
-4.000000,2.155556
-3.750000,1.414505
-3.500000,0.908095
-3.250000,0.573601
-3.000000,0.362500
-2.750000,0.238151
-2.500000,0.173720
-2.250000,0.150345
-2.000000,0.155556
-1.750000,0.181926
-1.500000,0.225977
-1.250000,0.287321
-1.000000,0.368056
-0.750000,0.472391
-0.500000,0.606532
-0.250000,0.778801
0.000000,1.000000
0.250000,1.284025
0.500000,1.648720
0.750000,2.116971
1.000000,2.718056
1.250000,3.489226
1.500000,4.477539
1.750000,5.741936
2.000000,7.355556
2.250000,9.408304
2.500000,12.009657
2.750000,15.291716
3.000000,19.412500
3.250000,24.559489
3.500000,30.953407
3.750000,38.852249
4.000000,48.555556
