x,y
0.000000,0.000000
5.000000,0.087156
10.000000,0.173648
15.000000,0.258819
20.000000,0.342020
25.000000,0.422618
30.000000,0.500000
35.000000,0.573576
40.000000,0.642788
45.000000,0.707107
50.000000,0.766044
55.000000,0.819152
60.000000,0.866025
65.000000,0.906308
70.000000,0.939693
75.000000,0.965926
80.000000,0.984808
85.000000,0.996195
90.000000,1.000000
95.000000,0.996195
100.000000,0.984808
105.000000,0.965926
110.000000,0.939693
115.000000,0.906308
120.000000,0.866025
125.000000,0.819152
130.000000,0.766045
135.000000,0.707107
140.000000,0.642788
145.000000,0.573577
150.000000,0.500001
155.000000,0.422621
160.000000,0.342024
165.000000,0.258825
170.000000,0.173657
175.000000,0.087170
180.000000,0.000021
185.000000,-0.087124
190.000000,-0.173601
195.000000,-0.258749
200.000000,-0.341918
205.000000,-0.422471
210.000000,-0.499789
215.000000,-0.573277
220.000000,-0.642366
225.000000,-0.706518
230.000000,-0.765227
235.000000,-0.818027
240.000000,-0.864486
245.000000,-0.904216
250.000000,-0.936868
255.000000,-0.962134
260.000000,-0.979748
265.000000,-0.989481
270.000000,-0.991139
275.000000,-0.984559
280.000000,-0.969607
285.000000,-0.946162
290.000000,-0.914116
295.000000,-0.873357
300.000000,-0.823760
305.000000,-0.765166
310.000000,-0.697369
315.000000,-0.620089
320.000000,-0.532948
325.000000,-0.435445
330.000000,-0.326911
335.000000,-0.206481
340.000000,-0.073041
345.000000,0.074822
350.000000,0.238880
355.000000,0.421331
360.000000,0.624877
365.000000,0.852812
